Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),Environment:Site Outdoor Air Humidity Ratio [kgWater/kgDryAir](Hourly),Environment:Site Outdoor Air Relative Humidity [%](Hourly),ZONE_0:Zone Mean Radiant Temperature [C](Hourly),ZONE_0:Zone Windows Total Transmitted Solar Radiation Energy [J](Hourly),ZONE_0:Zone Mean Air Temperature [C](Hourly),ZONE_0:Zone Operative Temperature [C](Hourly),ZONE_0:Zone Mean Air Humidity Ratio [kgWater/kgDryAir](Hourly),ZONE_0:Zone Infiltration Mass Flow Rate [kg/s](Hourly),ZONE_0:Zone Infiltration Air Change Rate [ach](Hourly),ZONE_0:Zone Ventilation Mass Flow Rate [kg/s](Hourly),ZONE_0:Zone Ventilation Air Change Rate [ach](Hourly),ZONE_0:Zone Air Temperature [C](Hourly),ZONE_0:Zone Air Humidity Ratio [](Hourly),ZONE_0:Zone Air Relative Humidity [%](Hourly),PEOPLE ZONE_0:Zone Thermal Comfort ASHRAE 55 Adaptive Model 90% Acceptability Status [](Hourly),PEOPLE ZONE_0:Zone Thermal Comfort ASHRAE 55 Adaptive Model Running Average Outdoor Air Temperature [C](Hourly),ZONE_0:Zone Thermal Comfort ASHRAE 55 Simple Model Summer or Winter Clothes Not Comfortable Time [hr](Hourly),ZONE_0 IDEAL LOADS AIR:Zone Ideal Loads Supply Air Total Heating Energy [J](Hourly),ZONE_0 IDEAL LOADS AIR:Zone Ideal Loads Supply Air Total Cooling Energy [J](Hourly),ZONE_0 IDEAL LOADS AIR:Zone Ideal Loads Zone Total Heating Energy [J](Hourly),ZONE_0 IDEAL LOADS AIR:Zone Ideal Loads Zone Total Cooling Energy [J](Hourly),ZONE_0 IDEAL LOADS AIR:Zone Ideal Loads Outdoor Air Total Heating Energy [J](Hourly),ZONE_0 IDEAL LOADS AIR:Zone Ideal Loads Outdoor Air Total Cooling Energy [J](Hourly),ZONE_0 IDEAL LOADS AIR:Zone Ideal Loads Heat Recovery Total Heating Energy [J](Hourly),ZONE_0 IDEAL LOADS AIR:Zone Ideal Loads Heat Recovery Total Cooling Energy [J](Hourly),ZONE_0:Zone Mechanical Ventilation Mass Flow Rate [kg/s](Hourly) 
 01/01  01:00:00,10.815000000000001,0.007142424678576868,88.05,24.183940538476957,0.0,22.991108509270013,23.587524523873483,0.008552260632628234,0.008137214715410537,0.10452285382454932,0.0,0.0,22.991108509270013,0.008552260632628234,48.58261156022414,0.9,10.988333333333332,0.0,0.0,0.0,0.0,1786999.9410591132,0.0,0.0,0.0,0.0,0.0308486581158861 
 01/01  02:00:00,10.445,0.006771014139847047,85.65,23.91500413249435,0.0,22.70728681526065,23.311145473877502,0.008172844788382296,0.00815263548848264,0.1045576702399686,0.0,0.0,22.70728681526065,0.008172844788382296,47.26132152718152,1.0,10.988333333333332,0.0,0.0,0.0,0.0,1794000.981224473,0.0,0.0,0.0,0.0,0.0308486581158861 
 01/01  03:00:00,10.400000000000002,0.0069458531198122175,88.1,23.665602705752583,0.0,22.4752365919893,23.070419648870946,0.007948699719384156,0.008151662551883631,0.10442603691216923,0.0,0.0,22.4752365919893,0.007948699719384156,46.635378239006485,1.0,10.988333333333332,0.0,0.0,0.0,0.0,1654578.223018784,0.0,0.0,0.0,0.0,0.0308486581158861 
 01/01  04:00:00,10.345,0.007078903957687875,90.1,23.43149169369936,0.0,22.26067246726139,22.84608208048038,0.007867339366425355,0.008151519594410798,0.10433493300975112,0.0,0.0,22.26067246726139,0.007867339366425355,46.7710615257733,1.0,10.988333333333332,0.0,0.0,0.0,0.0,1573297.0522968727,0.0,0.0,0.0,0.0,0.0308486581158861 
 01/01  05:00:00,10.245000000000001,0.007232484347691708,92.65,23.206284287739514,0.0,22.04953782014502,22.627911053942267,0.007864948587371577,0.008152405664857278,0.1042713006978736,0.0,0.0,22.04953782014502,0.007864948587371577,47.36278835157085,1.0,10.988333333333332,0.0,0.0,0.0,0.0,1514987.3659889565,0.0,0.0,0.0,0.0,0.0308486581158861 
 01/01  06:00:00,10.145,0.007375966451566333,95.1,22.98774805672148,0.0,21.844347108202474,22.416047582461974,0.007921373980058604,0.008153424135558762,0.10422117503845327,0.0,0.0,21.844347108202474,0.007921373980058604,48.299499945571114,1.0,10.988333333333332,0.0,0.0,0.0,0.0,1477659.3391430818,0.0,0.0,0.0,0.0,0.0308486581158861 
 01/01  07:00:00,10.044999999999998,0.007482098998953207,97.1,22.896170345902007,0.0,22.119751925658086,22.507961135780043,0.007995141769184944,0.00815492803289148,0.10434994055849041,0.0,0.0,22.119751925658086,0.007995141769184944,47.93122035992347,1.0,10.988333333333332,0.0,0.0,0.0,0.0,1086518.4438496663,0.0,0.0,0.0,0.0,0.0222905249418191 
 01/01  08:00:00,10.109999999999998,0.007542581496008895,97.45,22.908247050196614,74025.28662381705,22.488457512236884,22.69835228121675,0.008067907187680794,0.008152273662616458,0.10445828983948591,0.0,0.0,22.488457512236884,0.008067907187680794,47.28870116784275,1.0,10.988333333333332,0.0,0.0,0.0,0.0,746469.0113445384,0.0,0.0,0.0,0.0,0.014926592543196986 
 01/01  09:00:00,10.474999999999998,0.0076066169855849575,95.9,23.20682409845002,1183669.256810321,22.841250678313333,23.02403738838168,0.008116637832726153,0.008140956122400279,0.10444581425937283,0.0,0.0,22.841250678313333,0.008116637832726153,46.563528198767266,1.0,10.988333333333332,0.0,0.0,0.0,0.0,436442.54540354793,0.0,0.0,0.0,0.0,0.00875686092001977 
 01/01  10:00:00,11.195,0.007769736196007612,93.35,23.678346048075678,2340070.44134875,23.30061243942794,23.48947924375181,0.008169115639171994,0.008118243777521753,0.1043247093824338,0.0,0.0,23.30061243942794,0.008169115639171994,45.57741173149487,0.8,10.988333333333332,0.0,0.0,0.0,0.0,418461.6925880006,0.0,0.0,0.0,0.0,0.00875686092001977 
 01/01  11:00:00,12.15,0.007913504983094323,89.25,24.767009623174925,5023550.312839794,24.379525918532895,24.57326777085391,0.008254380786045328,0.008089223114109385,0.104344146584142,0.0,0.0,24.379525918532895,0.008254380786045328,43.1612328458957,0.0,10.988333333333332,0.0,0.0,0.0,0.0,415605.8605622023,0.0,0.0,0.0,0.0,0.00875686092001977 
