Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),Environment:Site Outdoor Air Humidity Ratio [kgWater/kgDryAir](Hourly),Environment:Site Outdoor Air Relative Humidity [%](Hourly),ZONE_0:Zone Mean Radiant Temperature [C](Hourly),ZONE_0:Zone Windows Total Transmitted Solar Radiation Energy [J](Hourly),ZONE_0:Zone Mean Air Temperature [C](Hourly),ZONE_0:Zone Operative Temperature [C](Hourly),ZONE_0:Zone Mean Air Humidity Ratio [kgWater/kgDryAir](Hourly),ZONE_0:Zone Infiltration Mass Flow Rate [kg/s](Hourly),ZONE_0:Zone Infiltration Air Change Rate [ach](Hourly),ZONE_0:Zone Ventilation Mass Flow Rate [kg/s](Hourly),ZONE_0:Zone Ventilation Air Change Rate [ach](Hourly),ZONE_0:Zone Air Temperature [C](Hourly),ZONE_0:Zone Air Humidity Ratio [](Hourly),ZONE_0:Zone Air Relative Humidity [%](Hourly),PEOPLE ZONE_0:Zone Thermal Comfort ASHRAE 55 Adaptive Model 90% Acceptability Status [](Hourly),PEOPLE ZONE_0:Zone Thermal Comfort ASHRAE 55 Adaptive Model Running Average Outdoor Air Temperature [C](Hourly),ZONE_0:Zone Thermal Comfort ASHRAE 55 Simple Model Summer or Winter Clothes Not Comfortable Time [hr](Hourly),ZONE_0 IDEAL LOADS AIR:Zone Ideal Loads Supply Air Total Heating Energy [J](Hourly),ZONE_0 IDEAL LOADS AIR:Zone Ideal Loads Supply Air Total Cooling Energy [J](Hourly),ZONE_0 IDEAL LOADS AIR:Zone Ideal Loads Zone Total Heating Energy [J](Hourly),ZONE_0 IDEAL LOADS AIR:Zone Ideal Loads Zone Total Cooling Energy [J](Hourly),ZONE_0 IDEAL LOADS AIR:Zone Ideal Loads Outdoor Air Total Heating Energy [J](Hourly),ZONE_0 IDEAL LOADS AIR:Zone Ideal Loads Outdoor Air Total Cooling Energy [J](Hourly),ZONE_0 IDEAL LOADS AIR:Zone Ideal Loads Heat Recovery Total Heating Energy [J](Hourly),ZONE_0 IDEAL LOADS AIR:Zone Ideal Loads Heat Recovery Total Cooling Energy [J](Hourly),ZONE_0:Zone Mechanical Ventilation Mass Flow Rate [kg/s](Hourly) 
 01/01  01:00:00,10.815000000000001,0.007142424678576868,88.05,21.167291022828397,0.0,20.273933101448243,20.720612062138322,0.008343127462217076,0.008137214715410537,0.10352948617821385,0.0,0.0,20.273933101448243,0.008343127462217076,55.98371294653456,1.0,10.988333333333332,0.0,0.0,0.0,0.0,1418687.716745246,0.0,0.0,0.0,0.0,0.0308486581158861 
 01/01  02:00:00,10.445,0.006771014139847047,85.65,20.972365918092414,0.0,20.055102878302034,20.513734398197222,0.0079805549979521,0.00815263548848264,0.10358875265826054,0.0,0.0,20.055102878302034,0.0079805549979521,54.31214526064863,1.0,10.988333333333332,0.0,0.0,0.0,0.0,1438218.6478301855,0.0,0.0,0.0,0.0,0.0308486581158861 
 01/01  03:00:00,10.400000000000002,0.0069458531198122175,88.1,20.791181312475153,0.0,19.88507717886868,20.338129245671922,0.007767743125443624,0.008151662551883631,0.10348135841474285,0.0,0.0,19.88507717886868,0.007767743125443624,53.44298326439607,1.0,10.988333333333332,0.5,0.0,0.0,0.0,1309323.2514044014,0.0,0.0,0.0,0.0,0.0308486581158861 
 01/01  04:00:00,10.345,0.007078903957687875,90.1,20.620885316444348,0.0,19.729025779635872,20.17495554804011,0.00769435981757665,0.008151519594410798,0.10341238213664064,0.0,0.0,19.729025779635872,0.00769435981757665,53.45985049264484,1.0,10.988333333333332,0.9999999999999999,0.0,0.0,0.0,1237077.9996315832,0.0,0.0,0.0,0.0,0.0308486581158861 
 01/01  05:00:00,10.245000000000001,0.007232484347691708,92.65,20.456117595034293,0.0,19.57299052172041,20.01455405837735,0.007698240229208465,0.008152405664857278,0.10336915991393417,0.0,0.0,19.57299052172041,0.007698240229208465,54.00774529481275,1.0,10.988333333333332,0.9999999999999999,0.0,0.0,0.0,1186857.7262953538,0.0,0.0,0.0,0.0,0.0308486581158861 
 01/01  06:00:00,10.145,0.007375966451566333,95.1,20.295281506028648,0.0,19.420263101164885,19.85777230359676,0.007759948762701793,0.008153424135558762,0.10333825990849702,0.0,0.0,19.420263101164885,0.007759948762701793,54.954968327872066,1.0,10.988333333333332,0.9999999999999999,0.0,0.0,0.0,1156980.5538226378,0.0,0.0,0.0,0.0,0.0308486581158861 
 01/01  07:00:00,10.044999999999998,0.007482098998953207,97.1,20.249808285523223,0.0,19.71108234669724,19.980445316110227,0.007836798526591759,0.00815492803289148,0.10347268967423495,0.0,0.0,19.71108234669724,0.007836798526591759,54.498421480458035,1.0,10.988333333333332,0.9999999999999999,0.0,0.0,0.0,857079.653771061,0.0,0.0,0.0,0.0,0.0222905249418191 
 01/01  08:00:00,10.109999999999998,0.007542581496008895,97.45,20.29379244852805,74025.28662381705,20.08876044340168,20.191276445964867,0.007910136257226898,0.008152273662616458,0.10358445630723478,0.0,0.0,20.08876044340168,0.007910136257226898,53.72909464307098,1.0,10.988333333333332,0.8999999999999999,0.0,0.0,0.0,593400.9759022548,0.0,0.0,0.0,0.0,0.014926592543196986 
 01/01  09:00:00,10.474999999999998,0.0076066169855849575,95.9,20.61894474992335,1183669.256810321,20.427840715056035,20.52339273248969,0.00796029302832017,0.008140956122400279,0.10356849544532494,0.0,0.0,20.427840715056035,0.00796029302832017,52.94437446182925,1.0,10.988333333333332,0.0,0.0,0.0,0.0,346409.4184288154,0.0,0.0,0.0,0.0,0.00875686092001977 
 01/01  10:00:00,11.195,0.007769736196007612,93.35,21.114484833461795,2340070.44134875,20.89989761144206,21.007191222451926,0.008014467757387825,0.008118243777521753,0.1034544690362597,0.0,0.0,20.89989761144206,0.008014467757387825,51.77350939037761,1.0,10.988333333333332,0.0,0.0,0.0,0.0,328793.44883247797,0.0,0.0,0.0,0.0,0.00875686092001977 
