Time,ZONE_0:EXTREME WINTER WEATHER PERIOD FOR DESIGN:Des Heat Load [W],ZONE_0:EXTREME SUMMER WEATHER PERIOD FOR DESIGN:Des Sens Cool Load [W],ZONE_0:EXTREME WINTER WEATHER PERIOD FOR DESIGN:Des Heat Mass Flow [kg/s],ZONE_0:EXTREME SUMMER WEATHER PERIOD FOR DESIGN:Des Cool Mass Flow [kg/s],ZONE_0::Des Latent Heat Load [W],ZONE_0::Des Latent Cool Load [W],ZONE_0::Des Latent Heat Mass Flow [kg/s],ZONE_0::Des Latent Cool Mass Flow [kg/s],ZONE_0::Des Heat Load No DOAS [W],ZONE_0::Des Sens Cool Load No DOAS [W],ZONE_0::Des Latent Heat Load No DOAS [W],ZONE_0::Des Latent Cool Load No DOAS [W],ZONE_0:EXTREME WINTER WEATHER PERIOD FOR DESIGN:Heating Zone Temperature [C],ZONE_0:EXTREME WINTER WEATHER PERIOD FOR DESIGN:Heating Zone Relative Humidity [%],ZONE_0:EXTREME SUMMER WEATHER PERIOD FOR DESIGN:Cooling Zone Temperature [C],ZONE_0:EXTREME SUMMER WEATHER PERIOD FOR DESIGN:Cooling Zone Relative Humidity [%]
00:06:00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.166123E+01,3.279434E+01,2.474871E+01,7.235730E+01
00:12:00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.166656E+01,3.300218E+01,2.463513E+01,7.265148E+01
00:18:00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.166976E+01,3.321094E+01,2.446079E+01,7.294535E+01
00:24:00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.167128E+01,3.341967E+01,2.426523E+01,7.314318E+01
00:30:00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.167146E+01,3.362772E+01,2.407327E+01,7.323087E+01
00:36:00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.167055E+01,3.383466E+01,2.388716E+01,7.325738E+01
00:42:00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.166874E+01,3.404015E+01,2.370093E+01,7.327241E+01
00:48:00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.166617E+01,3.424394E+01,2.351121E+01,7.329665E+01
00:54:00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.166295E+01,3.444586E+01,2.331840E+01,7.332936E+01
01:00:00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.165918E+01,3.464575E+01,2.312388E+01,7.336541E+01
01:06:00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.165490E+01,3.484353E+01,2.292823E+01,7.340326E+01
