Time,ZONE_0:EXTREME WINTER WEATHER PERIOD FOR DESIGN:Des Heat Load [W],ZONE_0:EXTREME SUMMER WEATHER PERIOD FOR DESIGN:Des Sens Cool Load [W],ZONE_0:EXTREME WINTER WEATHER PERIOD FOR DESIGN:Des Heat Mass Flow [kg/s],ZONE_0:EXTREME SUMMER WEATHER PERIOD FOR DESIGN:Des Cool Mass Flow [kg/s],ZONE_0::Des Latent Heat Load [W],ZONE_0::Des Latent Cool Load [W],ZONE_0::Des Latent Heat Mass Flow [kg/s],ZONE_0::Des Latent Cool Mass Flow [kg/s],ZONE_0::Des Heat Load No DOAS [W],ZONE_0::Des Sens Cool Load No DOAS [W],ZONE_0::Des Latent Heat Load No DOAS [W],ZONE_0::Des Latent Cool Load No DOAS [W],ZONE_0:EXTREME WINTER WEATHER PERIOD FOR DESIGN:Heating Zone Temperature [C],ZONE_0:EXTREME WINTER WEATHER PERIOD FOR DESIGN:Heating Zone Relative Humidity [%],ZONE_0:EXTREME SUMMER WEATHER PERIOD FOR DESIGN:Cooling Zone Temperature [C],ZONE_0:EXTREME SUMMER WEATHER PERIOD FOR DESIGN:Cooling Zone Relative Humidity [%]
00:06:00,0.000000E+00,3.556494E+02,0.000000E+00,4.352006E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.453187E+01,4.501440E+01,2.599952E+01,4.890227E+01
00:12:00,0.000000E+00,3.520132E+02,0.000000E+00,4.307511E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.451247E+01,4.511913E+01,2.599952E+01,4.896860E+01
00:18:00,0.000000E+00,3.482059E+02,0.000000E+00,4.260922E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.449344E+01,4.522111E+01,2.599952E+01,4.902957E+01
00:24:00,0.000000E+00,3.442213E+02,0.000000E+00,4.212164E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.447468E+01,4.532056E+01,2.599952E+01,4.908502E+01
00:30:00,0.000000E+00,3.400513E+02,0.000000E+00,4.161137E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.445614E+01,4.541766E+01,2.599953E+01,4.913535E+01
00:36:00,0.000000E+00,3.356989E+02,0.000000E+00,4.107877E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.443778E+01,4.551255E+01,2.599953E+01,4.918105E+01
00:42:00,0.000000E+00,3.311567E+02,0.000000E+00,4.052295E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.441956E+01,4.560533E+01,2.599954E+01,4.922257E+01
00:48:00,0.000000E+00,3.264288E+02,0.000000E+00,3.994439E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.440145E+01,4.569608E+01,2.599954E+01,4.926027E+01
00:54:00,0.000000E+00,3.215097E+02,0.000000E+00,3.934245E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.438346E+01,4.578487E+01,2.599954E+01,4.929445E+01
01:00:00,0.000000E+00,3.164059E+02,0.000000E+00,3.871789E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.436555E+01,4.587175E+01,2.599955E+01,4.932540E+01
